Country or Area,Subgroup,Year,Unit,Value
Afghanistan,Female 15+ yr,2006,Percent,33.8
Afghanistan,Female 15+ yr,2005,Percent,34.1
Afghanistan,Female 15+ yr,2004,Percent,31.5
Afghanistan,Female 15+ yr,2003,Percent,33.1
Afghanistan,Female 15+ yr,2002,Percent,34.8
Afghanistan,Female 15+ yr,2001,Percent,30
Afghanistan,Female 15+ yr,2000,Percent,30.2
Afghanistan,Female 15+ yr,1999,Percent,30.2
Afghanistan,Female 15+ yr,1998,Percent,30.1
Afghanistan,Female 15+ yr,1997,Percent,30
Afghanistan,Female 15+ yr,1996,Percent,30.1
Afghanistan,Female 15+ yr,1995,Percent,30
Afghanistan,Female 15+ yr,1994,Percent,30
Afghanistan,Female 15+ yr,1993,Percent,29.8
Afghanistan,Female 15+ yr,1992,Percent,30
Afghanistan,Female 15+ yr,1991,Percent,29.9
Afghanistan,Male 15+ yr,2006,Percent,81.1
Afghanistan,Male 15+ yr,2005,Percent,81.7
Afghanistan,Male 15+ yr,2004,Percent,79.9
Afghanistan,Male 15+ yr,2003,Percent,80.5
Afghanistan,Male 15+ yr,2002,Percent,81.3
Afghanistan,Male 15+ yr,2001,Percent,79.6
Afghanistan,Male 15+ yr,2000,Percent,79.9
Afghanistan,Male 15+ yr,1999,Percent,79.9
Afghanistan,Male 15+ yr,1998,Percent,79.9
Afghanistan,Male 15+ yr,1997,Percent,79.9
Afghanistan,Male 15+ yr,1996,Percent,79.9
Afghanistan,Male 15+ yr,1995,Percent,79.9
Afghanistan,Male 15+ yr,1994,Percent,79.8
Afghanistan,Male 15+ yr,1993,Percent,79.7
Afghanistan,Male 15+ yr,1992,Percent,79.7
Afghanistan,Male 15+ yr,1991,Percent,79.6
Albania,Female 15+ yr,2006,Percent,41.6
Albania,Female 15+ yr,2005,Percent,41.8
Albania,Female 15+ yr,2004,Percent,42.1
Albania,Female 15+ yr,2003,Percent,42.1
Albania,Female 15+ yr,2002,Percent,41.5
Albania,Female 15+ yr,2001,Percent,41.9
Albania,Female 15+ yr,2000,Percent,42.4
Albania,Female 15+ yr,1999,Percent,42.9
Albania,Female 15+ yr,1998,Percent,43.4
Albania,Female 15+ yr,1997,Percent,44.7
Albania,Female 15+ yr,1996,Percent,44.8
Albania,Female 15+ yr,1995,Percent,45.4
Albania,Female 15+ yr,1994,Percent,45.9
Albania,Female 15+ yr,1993,Percent,46.4
Albania,Female 15+ yr,1992,Percent,48.2
Albania,Female 15+ yr,1991,Percent,50.1
Albania,Male 15+ yr,2006,Percent,60
Albania,Male 15+ yr,2005,Percent,60.7
Albania,Male 15+ yr,2004,Percent,60.9
Albania,Male 15+ yr,2003,Percent,61.2
Albania,Male 15+ yr,2002,Percent,60.6
Albania,Male 15+ yr,2001,Percent,61.1
Albania,Male 15+ yr,2000,Percent,62
Albania,Male 15+ yr,1999,Percent,62.9
Albania,Male 15+ yr,1998,Percent,64.2
Albania,Male 15+ yr,1997,Percent,66.5
Albania,Male 15+ yr,1996,Percent,66.1
Albania,Male 15+ yr,1995,Percent,67
Albania,Male 15+ yr,1994,Percent,67.4
Albania,Male 15+ yr,1993,Percent,67.6
Albania,Male 15+ yr,1992,Percent,70.1
Albania,Male 15+ yr,1991,Percent,72.6
Algeria,Female 15+ yr,2006,Percent,30.7
